Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy	From
80	Spectrogram 1	1	151474.143937500	151474.367937500	20.0	500.0	1.0000	Band Limited Energy Detector
81	Waveform 1	1	151485.471937500	151485.567937500	20.0	500.0	1.0000	Band Limited Energy Detector
81	Spectrogram 1	1	151485.471937500	151485.567937500	20.0	500.0	1.0000	Band Limited Energy Detector
82	Waveform 1	1	151492.991937500	151493.183937500	20.0	500.0	1.0000	Band Limited Energy Detector
82	Spectrogram 1	1	151492.991937500	151493.183937500	20.0	500.0	1.0000	Band Limited Energy Detector
83	Waveform 1	1	151514.175937500	151514.431937500	20.0	500.0	1.0000	Band Limited Energy Detector
83	Spectrogram 1	1	151514.175937500	151514.431937500	20.0	500.0	1.0000	Band Limited Energy Detector
84	Waveform 1	1	151514.879937500	151515.071937500	20.0	500.0	1.0000	Band Limited Energy Detector
84	Spectrogram 1	1	151514.879937500	151515.071937500	20.0	500.0	1.0000	Band Limited Energy Detector
85	Waveform 1	1	151516.575937500	151516.799937500	20.0	500.0	1.0000	Band Limited Energy Detector
85	Spectrogram 1	1	151516.575937500	151516.799937500	20.0	500.0	1.0000	Band Limited Energy Detector
86	Waveform 1	1	151525.343937500	151525.439937500	20.0	500.0	1.0000	Band Limited Energy Detector
86	Spectrogram 1	1	151525.343937500	151525.439937500	20.0	500.0	1.0000	Band Limited Energy Detector
87	Waveform 1	1	151530.847937500	151531.039937500	20.0	500.0	1.0000	Band Limited Energy Detector
87	Spectrogram 1	1	151530.847937500	151531.039937500	20.0	500.0	1.0000	Band Limited Energy Detector
88	Waveform 1	1	151537.183937500	151537.439937500	20.0	500.0	1.0000	Band Limited Energy Detector
88	Spectrogram 1	1	151537.183937500	151537.439937500	20.0	500.0	1.0000	Band Limited Energy Detector
89	Waveform 1	1	151546.399937500	151546.655937500	20.0	500.0	0.8750	Band Limited Energy Detector
89	Spectrogram 1	1	151546.399937500	151546.655937500	20.0	500.0	0.8750	Band Limited Energy Detector
90	Waveform 1	1	151547.839937500	151548.095937500	20.0	500.0	1.0000	Band Limited Energy Detector
90	Spectrogram 1	1	151547.839937500	151548.095937500	20.0	500.0	1.0000	Band Limited Energy Detector
91	Waveform 1	1	151572.479937500	151572.735937500	20.0	500.0	1.0000	Band Limited Energy Detector
91	Spectrogram 1	1	151572.479937500	151572.735937500	20.0	500.0	1.0000	Band Limited Energy Detector
92	Waveform 1	1	151573.887937500	151574.207937500	20.0	500.0	1.0000	Band Limited Energy Detector
92	Spectrogram 1	1	151573.887937500	151574.207937500	20.0	500.0	1.0000	Band Limited Energy Detector
93	Waveform 1	1	151575.871937500	151576.095937500	20.0	500.0	1.0000	Band Limited Energy Detector
93	Spectrogram 1	1	151575.871937500	151576.095937500	20.0	500.0	1.0000	Band Limited Energy Detector
94	Waveform 1	1	151584.511937500	151584.799937500	20.0	500.0	1.0000	Band Limited Energy Detector
94	Spectrogram 1	1	151584.511937500	151584.799937500	20.0	500.0	1.0000	Band Limited Energy Detector
95	Waveform 1	1	151589.439937500	151589.567937500	20.0	500.0	1.0000	Band Limited Energy Detector
95	Spectrogram 1	1	151589.439937500	151589.567937500	20.0	500.0	1.0000	Band Limited Energy Detector
96	Waveform 1	1	151598.271937500	151598.495937500	20.0	500.0	1.0000	Band Limited Energy Detector
96	Spectrogram 1	1	151598.271937500	151598.495937500	20.0	500.0	1.0000	Band Limited Energy Detector
97	Waveform 1	1	151610.911937500	151611.167937500	20.0	500.0	1.0000	Band Limited Energy Detector
97	Spectrogram 1	1	151610.911937500	151611.167937500	20.0	500.0	1.0000	Band Limited Energy Detector
98	Waveform 1	1	151628.831937500	151629.023937500	20.0	500.0	1.0000	Band Limited Energy Detector
98	Spectrogram 1	1	151628.831937500	151629.023937500	20.0	500.0	1.0000	Band Limited Energy Detector
99	Waveform 1	1	151640.031937500	151640.191937500	20.0	500.0	1.0000	Band Limited Energy Detector
99	Spectrogram 1	1	151640.031937500	151640.191937500	20.0	500.0	1.0000	Band Limited Energy Detector
100	Waveform 1	1	151651.263937500	151651.583937500	20.0	500.0	0.9000	Band Limited Energy Detector
100	Spectrogram 1	1	151651.263937500	151651.583937500	20.0	500.0	0.9000	Band Limited Energy Detector
101	Waveform 1	1	151653.183937500	151653.439937500	20.0	500.0	1.0000	Band Limited Energy Detector
101	Spectrogram 1	1	151653.183937500	151653.439937500	20.0	500.0	1.0000	Band Limited Energy Detector
102	Waveform 1	1	151666.175937500	151666.431937500	20.0	500.0	1.0000	Band Limited Energy Detector
102	Spectrogram 1	1	151666.175937500	151666.431937500	20.0	500.0	1.0000	Band Limited Energy Detector
103	Waveform 1	1	151671.423937500	151671.551937500	20.0	500.0	0.7500	Band Limited Energy Detector
103	Spectrogram 1	1	151671.423937500	151671.551937500	20.0	500.0	0.7500	Band Limited Energy Detector
104	Waveform 1	1	151678.143937500	151678.303937500	20.0	500.0	1.0000	Band Limited Energy Detector
104	Spectrogram 1	1	151678.143937500	151678.303937500	20.0	500.0	1.0000	Band Limited Energy Detector
105	Waveform 1	1	151688.959937500	151689.151937500	20.0	500.0	1.0000	Band Limited Energy Detector
105	Spectrogram 1	1	151688.959937500	151689.151937500	20.0	500.0	1.0000	Band Limited Energy Detector
106	Waveform 1	1	151697.471937500	151697.695937500	20.0	500.0	1.0000	Band Limited Energy Detector
106	Spectrogram 1	1	151697.471937500	151697.695937500	20.0	500.0	1.0000	Band Limited Energy Detector
107	Waveform 1	1	151698.271937500	151698.623937500	20.0	500.0	1.0000	Band Limited Energy Detector
107	Spectrogram 1	1	151698.271937500	151698.623937500	20.0	500.0	1.0000	Band Limited Energy Detector
108	Waveform 1	1	151700.223937500	151700.319937500	20.0	500.0	1.0000	Band Limited Energy Detector
108	Spectrogram 1	1	151700.223937500	151700.319937500	20.0	500.0	1.0000	Band Limited Energy Detector
109	Waveform 1	1	151717.663937500	151717.823937500	20.0	500.0	1.0000	Band Limited Energy Detector
109	Spectrogram 1	1	151717.663937500	151717.823937500	20.0	500.0	1.0000	Band Limited Energy Detector
110	Waveform 1	1	151719.295937500	151719.455937500	20.0	500.0	1.0000	Band Limited Energy Detector
110	Spectrogram 1	1	151719.295937500	151719.455937500	20.0	500.0	1.0000	Band Limited Energy Detector
111	Waveform 1	1	151729.599937500	151729.951937500	20.0	500.0	1.0000	Band Limited Energy Detector
111	Spectrogram 1	1	151729.599937500	151729.951937500	20.0	500.0	1.0000	Band Limited Energy Detector
112	Waveform 1	1	151738.751937500	151738.911937500	20.0	500.0	1.0000	Band Limited Energy Detector
112	Spectrogram 1	1	151738.751937500	151738.911937500	20.0	500.0	1.0000	Band Limited Energy Detector
113	Waveform 1	1	151741.887937500	151742.015937500	20.0	500.0	1.0000	Band Limited Energy Detector
